Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2018,Bartolo Colon,TEX,60,255,4.5,2.25,2,1.8,0.1176,0.0588,0.0588,0.316017316,1.4667,0.3081,0.1545,5.511052418,5.250840473,375
2018,CC Sabathia,NYY,65.1,276,5.9235,3.4439,1.72,0.551,0.1558,0.0906,0.0652,0.255144032,1.3316,0.2915,0.4051,4.018195712,4.966585611,404
2018,Fernando Rodney,2 Tms,32.2,138,9.6428,5.2347,1.8421,0.551,0.2536,0.1377,0.1159,0.217391304,1.3469,0.2875,0.5556,3.742684477,4.261316373,494
2018,Marco Estrada,TOR,61.2,255,4.3784,2.773,1.5789,1.4595,0.1176,0.0745,0.0431,0.280701754,1.3459,0.2755,0.1594,5.220510764,6.406704562,1118
2018,Tommy Hunter,PHI,30,119,6,2.4,2.5,0.3,0.1681,0.0672,0.1008,0.224299065,1.0667,0.2614,0.3374,3.261052418,4.589441856,1157
2018,Adam Ottavino,COL,36.1,135,9.9083,3.7156,2.6667,0.4954,0.2963,0.1111,0.1852,0.168141592,0.9358,0.2208,0.4037,2.995914652,3.644037804,1247
2018,Edwin Jackson,OAK,39.2,149,6.8067,2.9496,2.3077,0.2269,0.2013,0.0872,0.1141,0.218045112,1.0588,0.2667,0.3941,2.959371916,4.255496595,1841
2018,Ryan Madson,2 Tms,25.2,111,9.1169,2.4545,3.7143,0.7013,0.2342,0.0631,0.1712,0.30927835,1.4416,0.3784,0.2762,3.200013406,3.860090181,1852
2018,Matt Moore,TEX,43.1,210,8.5154,4.5692,1.8636,2.0769,0.1952,0.1048,0.0905,0.355555555,1.9846,0.403,0.2133,5.999516139,4.981453474,1890
2018,Zack Greinke,ARI,76,289,7.9342,2.6053,3.0455,0.8289,0.2318,0.0761,0.1557,0.211538461,1.0132,0.25,0.3226,3.503157681,3.609695916,1943
2018,Ivan Nova,PIT,72.2,281,6.3165,1.6101,3.9231,1.1147,0.1815,0.0463,0.1352,0.24137931,1.0459,0.2609,0.1863,3.945455727,3.721811624,1994
2018,Clayton Kershaw,LAD,60,240,8.25,2.4,3.4375,0.3,0.2292,0.0667,0.1625,0.23853211,1.1333,0.3012,0.4381,2.611052418,3.471484245,2036
2018,Jorge De La Rosa,2 Tms,27.1,117,4.939,4.939,1,0.6585,0.1282,0.1282,0,0.257731958,1.4634,0.2706,0.5108,4.661054247,5.280883999,2047
2018,Hector Rondon,HOU,25.1,108,8.5263,3.1974,2.6667,0.7105,0.2222,0.0833,0.1389,0.282828282,1.4605,0.3562,0.4971,3.358421098,3.636012331,2391
2018,Corey Kluber,CLE,80.1,294,7.7303,1.3444,5.75,1.2324,0.2347,0.0408,0.1939,0.217391304,0.8963,0.245,0.2218,3.746114901,3.487436585,2429
2018,Lance Lynn,2 Tms,77,330,9.1169,4.5584,2,1.1688,0.2364,0.1182,0.1182,0.277777777,1.5455,0.3465,0.3491,4.381831638,3.87324502,2520
2018,Jhoulys Chacin,MIL,77.2,307,5.794,3.9399,1.4706,0.6953,0.1629,0.1107,0.0521,0.228346456,1.1845,0.2419,0.2804,4.26834808,4.795167001,2608
2018,Rick Porcello,BOS,74.2,321,9.2812,2.7723,3.3478,1.0848,0.2399,0.0717,0.1682,0.282685512,1.3795,0.3447,0.3112,3.830694976,3.790000018,2717
2018,Luis Avilan,2 Tms,22.2,99,7.9412,3.5735,2.2222,0.7941,0.202,0.0909,0.1111,0.279069767,1.4559,0.3333,0.4348,3.999286479,4.819591493,2882
2018,Kenley Jansen,LAD,30,112,10.2,2.1,4.8571,0.6,0.3036,0.0625,0.2411,0.163461538,0.8,0.2174,0.3302,2.461052418,3.301054686,3096
2018,Tony Watson,SFG,29.2,119,9.7079,1.8202,5.3333,0.9101,0.2689,0.0504,0.2185,0.271028037,1.1798,0.3377,0.566,3.026221109,3.270441826,3132
2018,Max Scherzer,WSN,79.1,303,12.0252,1.8151,6.625,1.1345,0.3498,0.0528,0.297,0.199275362,0.895,0.2711,0.371,2.92155652,3.03167003,3137
2018,David Price,BOS,73,278,9.7397,2.2192,4.3889,1.6027,0.2842,0.0647,0.2194,0.204819277,0.9452,0.2346,0.2113,4.298038719,3.634585324,3184
