Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2019,Yusmeiro Petit,OAK,34,118,7.1471,0.5294,13.5,1.3235,0.2288,0.0169,0.2119,0.196428571,0.7059,0.2024,0.2941,3.714009476,4.493523316,4020
2019,Derek Holland,2 Tms,40.1,173,7.1405,3.5703,2,2.6777,0.185,0.0925,0.0925,0.284722222,1.4132,0.2661,0.181,6.982607631,5.334199609,4141
2019,Jake Arrieta,PHI,66.2,263,6.615,3.645,1.8148,0.81,0.1863,0.1027,0.0837,0.246636771,1.23,0.2768,0.3222,4.309008928,4.601075105,4153
2019,David Hernandez,CIN,21.2,101,9.1384,4.5692,2,1.2462,0.2178,0.1089,0.1089,0.329411764,1.8,0.3906,0.1397,4.644776505,4.864585216,4259
2019,Mark Melancon,2 Tms,31.2,131,8.2421,2.2737,3.625,0.8526,0.2214,0.0611,0.1603,0.3,1.3895,0.3708,0.4545,3.561378628,3.334871649,4264
2019,Matt Albers,MIL,28,122,7.7143,6.1071,1.2632,1.6071,0.1967,0.1557,0.041,0.275510204,1.6429,0.3014,0.4,5.964009476,5.205528383,4300
2019,Justin Wilson,NYM,22,84,12.2727,2.8636,4.2857,1.2273,0.3571,0.0833,0.2738,0.207792207,1.0455,0.2955,0.6383,3.214009476,2.616722042,4301
2019,Tyler Chatwood,CHC,38,149,6.6316,3.3158,2,0.9474,0.1879,0.094,0.094,0.246153846,1.2105,0.28,0.4608,4.450851581,4.338771085,4338
2019,Jeremy Hellickson,WSN,20,88,6.75,5.85,1.1538,2.25,0.1705,0.1477,0.0227,0.25,1.55,0.2407,0.2,7.064009476,6.499437416,4371
2019,Jordan Zimmermann,DET,48.2,226,7.5822,3.3288,2.2778,1.8493,0.1814,0.0796,0.1018,0.348484848,1.7877,0.3831,0.1316,5.494829831,5.03079832,4505
2019,Charlie Morton,TBR,80.2,313,11.0454,2.4545,4.5,0.8926,0.3163,0.0703,0.246,0.217857142,1.0289,0.2994,0.3299,3.127232653,3.342210565,4676
2019,Felix Hernandez,SEA,30.2,135,6.4565,3.2283,2,1.7609,0.163,0.0815,0.0815,0.319327731,1.5978,0.3441,0.1147,5.692267651,4.9001563,4772
2019,Rich Hill,LAD,23.2,91,11.0282,4.1831,2.6364,1.1408,0.3187,0.1209,0.1978,0.166666666,0.9718,0.2,0.5963,4.185839093,3.462513268,4806
