Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2019,Jordan Zimmermann,DET,63.1,278,5.8263,0.9947,5.8571,1.2789,0.1475,0.0252,0.1223,0.283582089,1.3105,0.3073,1,4.240325805,4.748596196,4505
2019,Charlie Morton,TBR,114,477,11.1316,2.7632,4.0286,0.5526,0.2956,0.0734,0.2222,0.212814645,1.1228,0.2976,1,2.591202459,3.24123832,4676
2019,Felix Hernandez,SEA,41,190,7.6829,3.0732,2.5,2.4146,0.1842,0.0737,0.1105,0.2716763,1.4878,0.2835,1,6.238399719,5.37052454,4772
2019,Rich Hill,LAD,35,151,11.0571,1.8,6.1429,1.8,0.2848,0.0464,0.2384,0.251748251,1.2286,0.3118,1,4.042580904,3.374952332,4806
2019,Mike Montgomery,2 Tms,47.1,228,8.7465,4.1831,2.0909,1.9014,0.2018,0.0965,0.1053,0.307317073,1.7958,0.3557,1,5.474569672,4.32506052,4869
2019,Jon Lester,CHC,90.2,425,9.0331,2.3824,3.7917,1.489,0.2141,0.0565,0.1576,0.298994974,1.5772,0.3562,1,4.2507738,4.359834854,4930
2019,Cole Hamels,CHC,75,343,10.2,3.36,3.0357,1.2,0.2478,0.0816,0.1662,0.27184466,1.4933,0.3442,1,4.000676142,4.230025946,4972
2019,Wade LeBlanc,SEA,72,315,6.125,2.5,2.45,2.25,0.1556,0.0635,0.0921,0.261904761,1.3472,0.2599,1,5.977898364,5.324917155,5221
2019,Blake Parker,2 Tms,32.2,148,9.9184,4.1326,2.4,1.6531,0.2432,0.1014,0.1419,0.238461538,1.4082,0.2841,1,5.050742295,4.794279471,5224
2019,Wilmer Font,3 Tms,43.2,196,11.1298,3.7099,3,2.6794,0.2755,0.0918,0.1837,0.24858757,1.4198,0.2818,1,5.916297489,4.688220743,5257
2019,Michael Pineda,MIN,87,373,9.3103,1.7586,5.2941,1.6552,0.2413,0.0456,0.1957,0.258522727,1.2414,0.3049,1,4.259986487,4.269947609,5372
2019,Brad Peacock,HOU,55,235,8.8364,3.6,2.4545,1.3091,0.2298,0.0936,0.1362,0.213270142,1.2182,0.2483,1,4.450373112,5.091180598,5401
2019,Pedro Baez,LAD,35,147,9.7714,3.3429,2.9231,1.0286,0.2585,0.0884,0.1701,0.181818181,1.0571,0.2222,1,3.814009476,5.226852332,5420
2019,Jesse Chavez,TEX,43.1,191,8.9308,2.0769,4.3,1.4538,0.2251,0.0524,0.1728,0.264044943,1.3154,0.3125,1,4.229394872,4.516442151,5448
2019,Madison Bumgarner,SFG,127.1,530,9.0471,1.6257,5.5652,1.4843,0.2415,0.0434,0.1981,0.229540918,1.0838,0.2663,1,4.0072034,4.440860351,5524
2019,Ryan Brasier,BOS,31.2,137,10.2316,3.6947,2.7692,1.1368,0.2628,0.0949,0.1679,0.204918032,1.2,0.2561,1,4.003482329,5.062508149,5615
2019,Tyler Clippard,CLE,38.2,154,10.0086,2.7931,3.5833,0.931,0.2792,0.0779,0.2013,0.164285714,0.9052,0.2043,1,3.420905849,4.64832619,5640
2019,Junior Guerra,MIL,44.2,191,8.8657,4.6343,1.913,1.4104,0.2304,0.1204,0.1099,0.182926829,1.1866,0.2035,1,5.094605087,5.061342381,5702
2019,Trevor Cahill,LAA,60.2,275,7.7143,3.2637,2.3636,2.8187,0.1891,0.08,0.1091,0.274900398,1.5,0.2778,1,6.757963572,4.883406263,6249
2019,Chris Archer,PIT,69,307,11.2174,4.0435,2.7742,2.087,0.2801,0.101,0.1792,0.234432234,1.3768,0.2807,1,5.214009476,4.131064463,6345
2019,Jake Odorizzi,MIN,93.2,399,10.5694,2.7865,3.7931,1.0569,0.2757,0.0727,0.203,0.226158038,1.1957,0.2927,1,3.416856378,4.247480847,6397
2019,Trevor May,MIN,34.2,152,10.9038,4.9327,2.2105,1.2981,0.2763,0.125,0.1513,0.183206106,1.2404,0.2262,1,4.483239024,4.559190874,6398
2019,Steve Cishek,CHC,31.2,143,9.3789,3.9789,2.3571,1.1368,0.2308,0.0979,0.1329,0.232,1.3579,0.2841,1,4.477166041,4.593937435,6483
2019,Carlos Carrasco,CLE,44.1,205,11.1654,2.6391,4.2308,2.0301,0.2683,0.0634,0.2049,0.293193717,1.5564,0.3651,1,4.612506768,3.609555328,6632
2019,Alex Colome,CHW,32.1,138,9.4639,3.8969,2.4286,1.3918,0.2464,0.1014,0.1449,0.186991869,1.1443,0.2143,1,4.512979887,4.655934855,6661
